場名,日付,レース,着順,艇番,登番,選手名,モーター,ボート,展示タイム,進入,ST,レースタイム,決まり手,ミッドナイト
福岡,2025/11/02,10,02,4,4704,河野大,11,129,6.95,4,0.10,1.51.3,逃げ,
福岡,2025/11/02,10,03,5,4650,中山雄太,67,158,6.86,5,0.15,1.53.2,逃げ,
福岡,2025/11/02,10,04,3,3930,岸本隆,37,169,6.97,3,0.15,1.54.6,逃げ,
福岡,2025/11/02,10,05,6,5223,森清友翔,73,162,6.89,6,0.17,.,逃げ,
福岡,2025/11/02,10,06,2,3075,中村裕将,74,164,6.98,2,0.12,.,逃げ,
福岡,2025/11/02,11,01,1,4513,河野真也,61,141,6.91,1,0.09,1.50.0,逃げ,
福岡,2025/11/02,11,02,2,3436,柏野幸二,30,173,6.92,2,0.11,1.51.6,逃げ,
福岡,2025/11/02,11,03,5,4850,野中一平,63,108,7.02,5,0.06,1.52.7,逃げ,
福岡,2025/11/02,11,04,3,4495,森晋太郎,22,105,6.96,3,0.06,1.54.7,逃げ,
福岡,2025/11/02,11,05,6,4522,古澤光紀,41,170,6.91,6,0.13,.,逃げ,
福岡,2025/11/02,11,06,4,3882,新田智彰,38,120,6.99,4,0.12,.,逃げ,
福岡,2025/11/02,12,01,1,4743,木村仁紀,40,115,6.91,1,0.17,1.49.7,逃げ,
福岡,2025/11/02,12,02,2,3327,野長瀬正孝,50,112,6.92,2,0.18,1.51.6,逃げ,
福岡,2025/11/02,12,03,5,4631,新井英孝,70,109,6.93,6,0.17,1.52.6,逃げ,
福岡,2025/11/02,12,04,4,4314,青木幸太郎,68,119,7.00,5,0.13,1.53.2,逃げ,
福岡,2025/11/02,12,05,3,4059,入澤友治,58,137,6.95,3,0.16,.,逃げ,
福岡,2025/11/02,12,06,6,4594,谷川祐一,55,106,6.95,4,0.14,.,逃げ,
芦屋,2025/11/02,1,01,1,4189,川上剛,57,116,6.85,1,0.23,1.49.3,逃げ,
芦屋,2025/11/02,1,02,2,3226,浦田信義,37,169,6.87,2,0.25,1.51.0,逃げ,
芦屋,2025/11/02,1,03,3,4724,吉田祐貴,45,136,6.80,3,0.24,1.52.0,逃げ,
芦屋,2025/11/02,1,04,4,5307,富永夏哉人,58,164,6.84,4,0.21,1.53.2,逃げ,
芦屋,2025/11/02,1,05,6,5105,富田恕生,7,124,6.84,6,0.20,.,逃げ,
芦屋,2025/11/02,1,06,5,4010,越智照浩,19,165,6.85,5,0.21,.,逃げ,
芦屋,2025/11/02,2,01,5,5330,安河内鈴之介,55,156,6.77,6,0.16,1.48.8,まくり差し,
芦屋,2025/11/02,2,02,2,3523,寳田亮治,25,146,6.88,3,0.22,1.50.0,まくり差し,
芦屋,2025/11/02,2,03,3,5219,森口和紀,8,140,6.77,4,0.36,1.51.5,まくり差し,
芦屋,2025/11/02,2,04,4,4771,下寺秀和,56,132,6.89,5,0.21,1.52.0,まくり差し,
芦屋,2025/11/02,2,05,1,3951,石川吉鎬,52,122,6.85,1,0.19,.,まくり差し,
芦屋,2025/11/02,2,06,6,3687,花田和明,35,134,6.84,2,0.20,.,まくり差し,
芦屋,2025/11/02,3,01,4,4656,大崎翔,30,148,6.86,4,0.14,1.48.5,まくり差し,
芦屋,2025/11/02,3,02,5,4430,永田秀二,24,161,6.89,5,0.15,1.49.9,まくり差し,
芦屋,2025/11/02,3,03,1,4409,坂元浩仁,47,117,6.84,1,0.12,1.50.3,まくり差し,
芦屋,2025/11/02,3,04,3,4311,岡村仁,9,133,6.80,3,0.12,1.51.7,まくり差し,
芦屋,2025/11/02,3,05,6,5035,櫻井優,43,138,6.81,6,0.17,.,まくり差し,
芦屋,2025/11/02,3,06,2,4425,大井清貴,53,163,6.88,2,0.18,.,まくり差し,
芦屋,2025/11/02,4,01,5,4449,中嶋達也,28,144,6.76,5,0.19,1.48.7,まくり,
芦屋,2025/11/02,4,02,1,4174,赤坂俊輔,36,142,6.86,1,0.14,1.50.7,まくり,
芦屋,2025/11/02,4,03,4,3853,岩崎正哉,33,150,6.81,4,0.26,1.52.2,まくり,
芦屋,2025/11/02,4,04,2,3572,安田政彦,16,135,6.87,2,0.24,1.53.2,まくり,
芦屋,2025/11/02,4,05,3,4226,村田浩司,48,119,6.76,3,0.23,.,まくり,
芦屋,2025/11/02,4,06,6,5429,吉川颯汰,3,114,6.87,6,0.37,.,まくり,
芦屋,2025/11/02,5,01,2,3974,深山祐二,2,112,6.84,2,0.11,1.49.3,差し,
芦屋,2025/11/02,5,02,1,4451,松崎祐太郎,14,151,6.88,1,0.06,1.50.7,差し,
芦屋,2025/11/02,5,03,3,3837,秋山広一,20,160,6.93,3,0.11,1.52.1,差し,
芦屋,2025/11/02,5,04,5,4099,吉永則雄,21,128,6.86,5,0.11,1.53.0,差し,
芦屋,2025/11/02,5,05,4,3563,堤昇,11,127,6.88,4,0.14,.,差し,
芦屋,2025/11/02,5,06,6,3888,山本英志,31,139,6.84,6,0.14,.,差し,
芦屋,2025/11/02,6,01,1,4365,盛本真輔,17,168,6.76,1,0.11,1.49.3,逃げ,
芦屋,2025/11/02,6,02,2,4040,廣瀬将亨,32,158,6.79,2,0.13,1.50.5,逃げ,
芦屋,2025/11/02,6,03,3,5307,富永夏哉人,58,164,6.82,3,0.13,1.51.7,逃げ,
芦屋,2025/11/02,6,04,6,4428,有賀達也,18,129,6.75,6,0.09,1.51.9,逃げ,
芦屋,2025/11/02,6,05,5,4239,竹田辰也,5,131,6.85,5,0.08,.,逃げ,
芦屋,2025/11/02,6,06,4,3523,寳田亮治,25,146,6.86,4,0.12,.,逃げ,
芦屋,2025/11/02,7,01,1,5330,安河内鈴之介,55,156,6.74,1,0.07,1.48.9,逃げ,
芦屋,2025/11/02,7,02,4,4705,吉川勇作,1,118,6.86,4,0.19,1.50.7,逃げ,
芦屋,2025/11/02,7,03,2,5014,梶山涼斗,51,170,6.80,2,0.04,1.51.4,逃げ,
芦屋,2025/11/02,7,04,3,4010,越智照浩,19,165,6.85,3,0.09,1.52.5,逃げ,
芦屋,2025/11/02,7,05,5,4656,大崎翔,30,148,6.88,5,0.32,.,逃げ,
芦屋,2025/11/02,7,06,6,5426,甲斐貴大,10,126,6.88,6,0.40,.,逃げ,
芦屋,2025/11/02,8,01,2,4109,谷津幸宏,50,153,6.91,2,0.11,1.48.8,まくり,
芦屋,2025/11/02,8,02,6,4506,稗田聖也,40,137,6.81,5,0.20,1.49.5,まくり,
芦屋,2025/11/02,8,03,4,4425,大井清貴,53,163,6.89,4,0.16,1.50.5,まくり,
芦屋,2025/11/02,8,04,3,5105,富田恕生,7,124,6.83,3,0.17,1.52.1,まくり,
芦屋,2025/11/02,8,05,1,4782,浜崎準也,22,162,6.79,1,0.23,.,まくり,
芦屋,2025/11/02,8,06,5,5429,吉川颯汰,3,114,6.92,6,0.24,.,まくり,
芦屋,2025/11/02,9,01,1,3838,伊藤啓三,49,159,6.88,1,0.04,1.49.4,逃げ,
芦屋,2025/11/02,9,02,3,4430,永田秀二,24,161,6.85,3,0.08,1.51.1,逃げ,
芦屋,2025/11/02,9,03,6,4441,末永由楽,23,166,6.87,6,0.09,1.52.2,逃げ,
芦屋,2025/11/02,9,04,5,3226,浦田信義,37,169,6.89,5,0.05,1.53.6,逃げ,
芦屋,2025/11/02,9,05,2,3687,花田和明,35,134,6.81,2,0.05,.,逃げ,
芦屋,2025/11/02,9,06,4,3974,深山祐二,2,112,6.80,4,0.03,.,逃げ,
芦屋,2025/11/02,10,01,1,4771,下寺秀和,56,132,6.92,1,0.13,1.49.3,逃げ,
芦屋,2025/11/02,10,02,5,4226,村田浩司,48,119,6.84,5,0.12,1.50.6,逃げ,
芦屋,2025/11/02,10,03,3,4793,金子萌,27,167,6.89,3,0.10,1.52.0,逃げ,
芦屋,2025/11/02,10,04,2,3563,堤昇,11,127,6.91,2,0.12,1.52.7,逃げ,
芦屋,2025/11/02,10,05,6,4040,廣瀬将亨,32,158,6.82,6,0.11,.,逃げ,
芦屋,2025/11/02,10,06,4,4724,吉田祐貴,45,136,6.85,4,0.34,.,逃げ,
芦屋,2025/11/02,11,01,3,4189,川上剛,57,116,6.86,3,0.19,1.49.6,差し,
芦屋,2025/11/02,11,02,4,4409,坂元浩仁,47,117,6.86,4,0.09,1.50.3,差し,
芦屋,2025/11/02,11,03,1,4099,吉永則雄,21,128,6.86,1,0.18,1.52.2,差し,
芦屋,2025/11/02,11,04,2,5219,森口和紀,8,140,6.79,2,0.19,1.53.0,差し,
芦屋,2025/11/02,11,05,6,4239,竹田辰也,5,131,6.86,6,0.16,.,差し,
芦屋,2025/11/02,11,06,5,4705,吉川勇作,1,118,6.79,5,0.08,.,差し,
芦屋,2025/11/02,12,01,1,4311,岡村仁,9,133,6.82,1,0.11,1.49.0,逃げ,
芦屋,2025/11/02,12,02,2,3951,石川吉鎬,52,122,6.97,2,0.16,1.50.2,逃げ,
芦屋,2025/11/02,12,03,3,3572,安田政彦,16,135,6.95,3,0.14,1.52.9,逃げ,
芦屋,2025/11/02,12,04,6,3837,秋山広一,20,160,6.90,6,0.11,1.53.8,逃げ,
芦屋,2025/11/02,12,05,4,4428,有賀達也,18,129,6.85,4,0.05,.,逃げ,
芦屋,2025/11/02,12,06,5,4109,谷津幸宏,50,153,6.94,5,0.07,.,逃げ,
若松,2025/11/02,1,01,6,3072,西田靖,56,70,6.83,1,0.04,1.52.5,逃げ,
若松,2025/11/02,1,02,2,4258,関根彰人,7,51,6.75,3,0.07,1.53.5,逃げ,
若松,2025/11/02,1,03,3,3889,須藤隆雄,43,34,6.76,4,0.06,1.55.0,逃げ,
若松,2025/11/02,1,04,5,3967,鈴木茂高,28,36,6.81,6,0.13,1.55.8,逃げ,
若松,2025/11/02,1,05,1,3748,小黒竜吾,61,28,6.73,2,0.02,.,逃げ,
若松,2025/11/02,1,06,4,3663,木山和幸,58,14,6.76,5,0.09,.,逃げ,
若松,2025/11/02,2,01,3,3623,深川真二,59,53,6.77,3,0.11,1.51.0,まくり,
若松,2025/11/02,2,02,5,4979,中野夢斗,55,54,6.77,4,0.08,1.51.8,まくり,
若松,2025/11/02,2,03,6,4509,平見真彦,5,11,6.82,5,0.13,1.53.1,まくり,
若松,2025/11/02,2,04,1,5036,福田翔吾,1,67,6.71,1,0.17,1.54.5,まくり,
若松,2025/11/02,2,05,2,3953,志道吉和,35,41,6.75,2,0.16,.,まくり,
若松,2025/11/02,2,06,4,5363,山本凱立,38,60,6.73,6,0.14,.,まくり,
若松,2025/11/02,3,01,6,4073,大橋純一郎,25,42,6.77,6,0.24,1.51.0,まくり差し,
若松,2025/11/02,3,02,5,4496,内堀学,51,17,6.68,5,0.19,1.52.9,まくり差し,
若松,2025/11/02,3,03,2,4514,上條嘉嗣,57,48,6.65,2,0.24,1.53.9,まくり差し,
若松,2025/11/02,3,04,3,4681,太田潮,3,56,6.73,3,0.28,1.54.0,まくり差し,
若松,2025/11/02,3,05,4,5382,山下心一,54,23,6.75,4,0.24,.,まくり差し,
若松,2025/11/02,3,06,1,4390,松本弓雄,53,24,6.71,1,0.31,.,まくり差し,
若松,2025/11/02,4,01,3,5028,原田才一郎,11,39,6.64,3,0.22,1.59.1,まくり差し,
若松,2025/11/02,4,02,1,3820,樫葉次郎,37,52,6.75,1,0.18,2.01.7,まくり差し,
若松,2025/11/02,4,03,4,4376,藤田靖弘,24,40,6.74,4,0.23,2.07.4,まくり差し,
若松,2025/11/02,4,04,5,4156,浜野孝志,49,69,6.75,5,0.21,2.22.0,まくり差し,
若松,2025/11/02,4,S0,2,5086,本村大,32,73,6.69,2,0.27,.,まくり差し,
若松,2025/11/02,4,S1,6,3286,坂東満,41,62,6.74,6,0.21,.,まくり差し,
若松,2025/11/02,5,01,1,4352,下條雄太郎,27,58,6.71,1,0.16,1.51.1,逃げ,
若松,2025/11/02,5,02,3,4054,福嶋智之,20,12,6.75,3,0.15,1.52.2,逃げ,
若松,2025/11/02,5,03,5,4637,中田友也,44,22,6.76,5,0.12,1.53.6,逃げ,
若松,2025/11/02,5,04,2,4674,池田剛規,29,59,6.76,2,0.16,1.54.5,逃げ,
若松,2025/11/02,5,05,6,5234,塚越海斗,23,44,6.68,6,0.11,.,逃げ,
若松,2025/11/02,5,06,4,5278,田中駿兵,36,74,6.69,4,0.19,.,逃げ,
若松,2025/11/02,6,01,1,4273,佐藤旭,15,16,6.75,1,0.22,1.50.3,逃げ,
若松,2025/11/02,6,02,4,4261,岡祐臣,4,57,6.74,3,0.21,1.51.6,逃げ,
若松,2025/11/02,6,03,5,5060,数原魁,18,49,6.69,4,0.24,1.53.3,逃げ,
若松,2025/11/02,6,04,6,4895,門間雄大,14,27,6.70,5,0.21,1.55.4,逃げ,
若松,2025/11/02,6,05,3,5369,岡崎凪汰,30,29,6.66,2,0.26,.,逃げ,
若松,2025/11/02,6,K0,2,4025,山本隆幸,39,21,K,.,K,.,逃げ,
若松,2025/11/02,7,01,1,4161,黒柳浩孝,45,38,6.66,1,0.13,1.51.2,逃げ,
若松,2025/11/02,7,02,2,4051,清水敦揮,17,43,6.79,2,0.14,1.51.7,逃げ,
若松,2025/11/02,7,03,4,4103,山崎善庸,6,19,6.78,4,0.17,1.53.2,逃げ,
若松,2025/11/02,7,04,5,4395,下河雅史,34,66,6.76,5,0.17,1.54.1,逃げ,
若松,2025/11/02,7,05,3,3967,鈴木茂高,28,36,6.85,3,0.18,.,逃げ,
若松,2025/11/02,7,06,6,5363,山本凱立,38,60,6.77,6,0.12,.,逃げ,
若松,2025/11/02,8,01,1,3623,深川真二,59,53,6.75,1,0.16,1.51.0,逃げ,
若松,2025/11/02,8,02,2,4294,古賀繁輝,21,72,6.80,2,0.18,1.52.4,逃げ,
若松,2025/11/02,8,03,3,4533,峰重侑治,40,37,6.72,3,0.19,1.53.4,逃げ,
若松,2025/11/02,8,04,5,3748,小黒竜吾,61,28,6.77,5,0.17,1.54.9,逃げ,
若松,2025/11/02,8,05,4,5138,村本大成,16,15,6.79,4,0.19,.,逃げ,
若松,2025/11/02,8,06,6,5382,山下心一,54,23,6.74,6,0.21,.,逃げ,
若松,2025/11/02,9,01,2,4747,山戸信二,26,18,6.74,2,0.15,1.50.9,差し,
若松,2025/11/02,9,02,1,4156,浜野孝志,49,13,6.74,1,0.14,1.51.8,差し,
若松,2025/11/02,9,03,5,3952,中澤和志,10,61,6.73,5,0.11,1.53.2,差し,
若松,2025/11/02,9,04,6,3722,西村秀樹,12,68,6.68,6,0.17,1.54.1,差し,
若松,2025/11/02,9,05,4,4496,内堀学,51,17,6.69,4,0.14,.,差し,
若松,2025/11/02,9,06,3,5036,福田翔吾,1,67,6.71,3,0.18,.,差し,
若松,2025/11/02,10,01,1,4718,北川太一,48,65,6.74,1,0.19,1.48.9,逃げ,
若松,2025/11/02,10,02,3,3663,木山和幸,58,14,6.76,3,0.18,1.50.2,逃げ,
若松,2025/11/02,10,03,5,5028,原田才一郎,11,39,6.62,5,0.16,1.51.4,逃げ,
若松,2025/11/02,10,04,4,4637,中田友也,44,22,6.74,4,0.14,1.52.9,逃げ,
若松,2025/11/02,10,05,2,4509,平見真彦,5,11,6.74,2,0.16,.,逃げ,
若松,2025/11/02,10,06,6,4681,太田潮,3,56,6.73,6,0.19,.,逃げ,
若松,2025/11/02,11,01,1,4514,上條嘉嗣,57,48,6.64,1,0.14,1.47.8,逃げ,
若松,2025/11/02,11,02,2,5234,塚越海斗,23,44,6.64,2,0.13,1.50.0,逃げ,
若松,2025/11/02,11,03,3,4979,中野夢斗,55,54,6.76,3,0.15,1.50.9,逃げ,
若松,2025/11/02,11,04,6,4258,関根彰人,7,51,6.76,5,0.17,1.52.2,逃げ,
若松,2025/11/02,11,05,5,4376,藤田靖弘,24,40,6.76,4,0.16,.,逃げ,
若松,2025/11/02,11,K0,4,4025,山本隆幸,39,21,K,.,K,.,逃げ,
若松,2025/11/02,12,01,6,5278,田中駿兵,36,74,6.68,5,0.14,1.48.1,まくり差し,
若松,2025/11/02,12,02,2,5060,数原魁,18,49,6.70,2,0.15,1.50.1,まくり差し,
若松,2025/11/02,12,03,4,4073,大橋純一郎,25,42,6.75,3,0.14,1.51.5,まくり差し,
若松,2025/11/02,12,04,1,4051,清水敦揮,17,43,6.75,1,0.15,1.53.1,まくり差し,
若松,2025/11/02,12,05,5,3889,須藤隆雄,43,34,6.83,4,0.22,.,まくり差し,
若松,2025/11/02,12,K1,3,3286,坂東満,41,62,K,.,K,.,まくり差し,
下関,2025/11/02,1,01,1,4083,福島勇樹,13,51,6.68,1,0.10,1.50.1,逃げ,
下関,2025/11/02,1,02,2,4308,河村了,53,15,6.69,2,0.18,1.51.7,逃げ,
下関,2025/11/02,1,03,5,4292,麻生慎介,46,13,6.80,5,0.14,1.53.3,逃げ,
下関,2025/11/02,1,04,3,3251,平石和男,32,22,6.75,3,0.15,1.55.2,逃げ,
下関,2025/11/02,1,05,6,4824,松井洪弥,39,48,6.74,6,0.17,.,逃げ,
下関,2025/11/02,1,06,4,5096,上原崚,27,70,6.79,4,0.13,.,逃げ,
下関,2025/11/02,2,01,1,4812,西野雄貴,48,59,6.73,1,0.12,1.50.7,逃げ,
下関,2025/11/02,2,02,4,4736,高倉和士,63,55,6.70,4,0.22,1.51.8,逃げ,
下関,2025/11/02,2,03,5,4797,中山将,35,33,6.72,5,0.22,1.52.3,逃げ,
下関,2025/11/02,2,04,2,3711,江本真治,11,39,6.77,2,0.16,1.54.2,逃げ,
下関,2025/11/02,2,05,6,4009,小林一樹,14,30,6.74,6,0.18,.,逃げ,
下関,2025/11/02,2,06,3,4030,森高一真,24,32,6.76,3,0.23,.,逃げ,
下関,2025/11/02,3,01,6,3854,吉川元浩,65,36,6.74,3,0.25,1.51.4,まくり差し,
下関,2025/11/02,3,02,3,4624,高田明,58,69,6.69,4,0.28,1.53.0,まくり差し,
下関,2025/11/02,3,03,1,4074,柳沢一,56,21,6.67,1,0.21,1.54.3,まくり差し,
下関,2025/11/02,3,04,4,4953,尾上雅也,60,23,6.74,5,0.31,1.54.4,まくり差し,
下関,2025/11/02,3,05,5,5303,土井歩夢,18,62,6.68,6,0.26,.,まくり差し,
下関,2025/11/02,3,06,2,4861,田中宏樹,66,19,6.77,2,0.34,.,まくり差し,
下関,2025/11/02,4,01,2,4977,馬野耀,34,68,6.69,2,0.16,1.48.6,差し,
下関,2025/11/02,4,02,1,4459,片岡雅裕,26,52,6.69,1,0.08,1.50.6,差し,
下関,2025/11/02,4,03,6,4682,大上卓人,23,43,6.74,4,0.28,1.51.7,差し,
下関,2025/11/02,4,04,5,4645,上村純一,62,63,6.66,6,0.22,1.52.7,差し,
下関,2025/11/02,4,05,4,5257,西丸侑太朗,40,40,6.63,5,0.21,.,差し,
下関,2025/11/02,4,06,3,4064,原田篤志,37,49,6.67,3,0.21,.,差し,
下関,2025/11/02,5,01,1,4264,長尾章平,51,11,6.71,1,0.22,1.49.4,逃げ,
下関,2025/11/02,5,02,5,4584,村岡賢人,55,73,6.67,5,0.12,1.51.1,逃げ,
下関,2025/11/02,5,03,4,4296,岡崎恭裕,64,31,6.67,4,0.15,1.53.0,逃げ,
下関,2025/11/02,5,04,2,4505,島田賢人,45,35,6.74,2,0.18,1.56.0,逃げ,
下関,2025/11/02,5,05,6,4847,佐藤隆太郎,28,34,6.75,6,0.15,.,逃げ,
下関,2025/11/02,5,S1,3,5158,宮脇遼太,36,12,6.66,3,0.14,.,逃げ,
下関,2025/11/02,6,01,3,3826,村田修次,73,27,6.73,3,0.15,1.49.9,まくり差し,
下関,2025/11/02,6,02,5,4350,篠崎元志,42,61,6.77,5,0.21,1.50.4,まくり差し,
下関,2025/11/02,6,03,1,4715,村上遼,59,28,6.72,1,0.26,1.51.7,まくり差し,
下関,2025/11/02,6,04,6,4816,村松修二,30,37,6.85,6,0.23,1.53.6,まくり差し,
下関,2025/11/02,6,05,2,4292,麻生慎介,46,13,6.76,2,0.17,.,まくり差し,
下関,2025/11/02,6,06,4,5145,島川海輝,47,25,6.69,4,0.18,.,まくり差し,
下関,2025/11/02,7,01,1,4832,権藤俊光,19,24,6.70,1,0.07,1.49.7,逃げ,
下関,2025/11/02,7,02,3,4308,河村了,53,15,6.76,3,0.15,1.50.8,逃げ,
下関,2025/11/02,7,03,2,3251,平石和男,32,22,6.80,2,0.17,1.52.4,逃げ,
下関,2025/11/02,7,04,4,4794,和田拓也,72,50,6.71,4,0.14,1.52.6,逃げ,
下関,2025/11/02,7,05,6,4736,高倉和士,63,55,6.78,6,0.15,.,逃げ,
下関,2025/11/02,7,06,5,4861,田中宏樹,66,19,6.81,5,0.16,.,逃げ,
下関,2025/11/02,8,01,1,4980,佐々木完太,54,65,6.69,1,0.01,1.49.4,逃げ,
下関,2025/11/02,8,02,4,5064,品川二千翔,31,46,6.74,4,0.09,1.50.5,逃げ,
下関,2025/11/02,8,03,2,5303,土井歩夢,18,62,6.77,2,0.08,1.50.9,逃げ,
下関,2025/11/02,8,04,6,4967,中村魁生,43,17,6.76,6,0.13,1.51.3,逃げ,
下関,2025/11/02,8,05,5,5224,西岡顕心,44,14,6.75,5,0.10,.,逃げ,
下関,2025/11/02,8,06,3,4122,安東幸治,20,38,6.81,3,0.12,.,逃げ,
下関,2025/11/02,9,01,4,5058,前原大道,16,44,6.77,4,0.10,1.47.5,まくり差し,
下関,2025/11/02,9,02,1,5142,常住蓮,70,45,6.74,1,0.05,1.49.5,まくり差し,
下関,2025/11/02,9,03,6,4064,原田篤志,37,49,6.79,6,0.16,1.51.5,まくり差し,
下関,2025/11/02,9,04,5,4505,島田賢人,45,35,6.76,5,0.14,1.52.8,まくり差し,
下関,2025/11/02,9,05,3,5257,西丸侑太朗,40,40,6.76,3,0.13,.,まくり差し,
下関,2025/11/02,9,06,2,4824,松井洪弥,39,48,6.79,2,0.11,.,まくり差し,
下関,2025/11/02,10,01,2,4715,村上遼,59,28,6.72,2,0.13,1.48.5,差し,
下関,2025/11/02,10,02,1,4584,村岡賢人,55,73,6.69,1,0.16,1.49.9,差し,
下関,2025/11/02,10,03,3,4459,片岡雅裕,26,52,6.79,3,0.12,1.51.2,差し,
